               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12695,            0.035596,                   0,            0.014302,            0.033333,           0.0012078,          0.00024156,             0.12624,            0.029999,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.12568,            0.034364,                   0,          0.00088398,            0.066667,          0.00074971,           0.0001528,             0.12442,            0.027054,                   0,            0.093693,          0.00069307,          0.00069307
                   2,             0.12217,            0.032483,                   0,          0.00047619,                 0.1,          0.00032432,          5.5852e-05,             0.12135,            0.024792,                   0,            0.090078,           0.0010782,           0.0010782
                   3,              0.1197,            0.031361,                   0,          0.00014493,            0.033333,          7.4888e-05,          7.4888e-06,             0.11687,            0.022638,                   0,            0.086455,           0.0014555,           0.0014555
                   4,             0.11351,            0.026944,                   0,          0.00076923,                 0.2,          0.00047271,          0.00012628,             0.10998,            0.021059,                   0,            0.082825,           0.0018248,           0.0018248
                   5,             0.11383,               0.026,                   0,          0.00059524,             0.16667,          0.00038142,          9.0675e-05,             0.10692,            0.020807,                   0,            0.079186,           0.0021861,           0.0021861
                   6,               0.114,            0.025644,                   0,          0.00055556,             0.16667,           0.0004454,          8.8976e-05,             0.10073,            0.019705,                   0,             0.07554,           0.0025396,           0.0025396
                   7,             0.10903,            0.025331,                   0,          0.00066667,                 0.2,          0.00053878,          0.00011952,            0.096175,             0.01922,                   0,            0.071885,           0.0028852,           0.0028852
                   8,             0.10627,            0.024074,                   0,          0.00077778,             0.23333,          0.00056339,          0.00010672,             0.09253,            0.019079,                   0,            0.068223,           0.0032228,           0.0032228
                   9,             0.10209,            0.022242,                   0,          0.00033333,                 0.1,            0.000202,           5.107e-05,            0.092925,            0.018113,                   0,            0.064553,           0.0035525,           0.0035525
                  10,             0.10547,              0.0229,                   0,               0.001,                 0.3,          0.00065636,          0.00014889,            0.090582,            0.017791,                   0,            0.060874,           0.0038743,           0.0038743
                  11,             0.10601,            0.022642,                   0,          0.00088889,             0.26667,          0.00061916,           0.0001458,            0.090818,            0.017218,                   0,            0.057188,           0.0041882,           0.0041882
                  12,            0.098548,             0.01949,                   0,           0.0013333,                 0.4,           0.0010176,           0.0002052,             0.08468,            0.017748,                   0,            0.053494,           0.0044941,           0.0044941
