               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  12,            0.041997,            0.016344,             0.01143,           0.0042056,                 0.9,           0.0079336,           0.0017714,            0.072401,            0.021236,            0.017102,             0.07651,             0.00151,             0.00151
                  13,            0.085395,            0.022696,            0.019059,           0.0027012,                 0.5,            0.010657,           0.0018655,            0.066118,            0.021654,             0.01655,            0.074542,           0.0015417,           0.0015417
                  14,             0.06921,            0.021258,            0.015148,           0.0033727,                 0.8,             0.02735,           0.0074254,            0.065096,            0.021539,            0.016196,             0.07256,           0.0015602,           0.0015602
                  15,             0.09379,            0.024675,            0.018034,           0.0035074,                 0.9,             0.07234,            0.014308,            0.065957,            0.021372,            0.016441,            0.070566,           0.0015655,           0.0015655
                  16,            0.068996,            0.020676,            0.013915,           0.0032632,                 0.9,            0.053579,           0.0085983,            0.067699,            0.020634,            0.015362,            0.068558,           0.0015576,           0.0015576
                  17,            0.037697,            0.014674,           0.0076435,           0.0029605,                 0.9,             0.11225,            0.016279,            0.065757,            0.020486,            0.013735,            0.066536,           0.0015365,           0.0015365
                  18,            0.070152,            0.030614,            0.016948,           0.0025422,                 0.8,             0.20866,            0.025942,            0.065816,            0.020188,            0.011766,            0.064502,           0.0015022,           0.0015022
                  19,            0.037358,            0.016562,           0.0072451,           0.0093425,                 0.9,             0.27802,            0.054171,            0.065014,            0.020084,             0.01078,            0.062455,           0.0014547,           0.0014547
                  20,            0.043756,            0.014762,           0.0081862,            0.019835,                 0.9,             0.26284,            0.076821,            0.063561,            0.019919,           0.0094575,            0.060394,            0.001394,            0.001394
                  21,            0.075123,            0.028304,            0.012722,            0.032617,                 0.9,             0.33908,            0.062567,            0.064157,            0.019608,           0.0086637,             0.05832,           0.0013201,           0.0013201
                  22,            0.064588,            0.021151,            0.012219,            0.027211,                 0.9,             0.35515,            0.071671,            0.061836,            0.019521,           0.0078506,            0.056233,            0.001233,            0.001233
                  23,            0.038857,            0.015589,           0.0072634,            0.021106,                 0.9,             0.38151,            0.082745,            0.059741,            0.019585,           0.0076238,            0.054133,           0.0011327,           0.0011327
                  24,            0.033279,            0.015072,           0.0056282,            0.030002,                 0.9,              0.4292,             0.11373,            0.058131,            0.019645,           0.0072648,            0.052019,           0.0010192,           0.0010192
                  25,            0.072548,            0.039529,           0.0096471,            0.046727,                 0.9,             0.34153,            0.082903,            0.057957,            0.019647,           0.0069864,            0.049892,           0.0008925,           0.0008925
                  26,            0.079776,            0.028292,            0.011033,              0.0587,                 0.9,             0.34512,            0.087418,            0.057464,            0.019743,           0.0065972,            0.047753,           0.0007526,           0.0007526
                  27,            0.059483,            0.024653,            0.010367,              0.0587,                 0.9,             0.34512,            0.087418,            0.057464,            0.019743,           0.0065972,              0.0456,           0.0005995,           0.0005995
                  28,            0.068592,            0.016039,            0.013335,            0.066374,                 0.9,             0.28518,            0.083576,            0.056565,            0.019759,           0.0064424,            0.043433,           0.0004332,           0.0004332
                  29,            0.056027,            0.017987,           0.0096335,            0.060539,                   1,             0.25403,            0.085116,            0.055677,            0.019794,           0.0064484,            0.041254,           0.0002537,           0.0002537
