               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12736,            0.035968,                   0,           0.0036113,            0.033333,          0.00046187,          9.2373e-05,             0.12638,            0.029549,                   0,              0.0937,              0.0007,              0.0007
                   1,             0.12219,            0.033756,                   0,                   0,                   0,                   0,                   0,             0.12204,             0.02647,                   0,            0.086351,           0.0013515,           0.0013515
                   2,             0.12172,            0.030521,                   0,          0.00022222,            0.066667,          0.00011925,          2.9608e-05,             0.11535,             0.02367,                   0,            0.078845,           0.0018446,           0.0018446
